technique_id,row_count_tag_in_train
T1027,450
T1105,450
T1082,448
T1083,398
T1140,331
T1547.001,328
T1016,319
T1070.004,319
T1057,312
T1071.001,303
T1059.003,300
T1059.001,267
T1059,223
T1033,217
T1053.005,216
T1113,202
T1071,177
T1005,174
T1204.002,173
T1112,170
T1543.003,162
T1041,160
T1518.001,160
T1106,158
T1036.005,156
T1566.001,151
T1055,144
T1036,142
T1573.001,140
T1047,136
T1574.001,136
T1059.005,119
T1012,118
T1562.001,116
T1573,115
T1203,113
T1056.001,112
T1218.011,110
T1018,107
T1027.002,106
T1049,104
T1102,97
T1064,97
T1553.002,93
T1486,92
T1132.001,92
T1074.001,92
T1124,87
T1505.003,86
T1095,84
T1560,84
T1003,81
T1555.003,80
T1547.009,79
T1008,78
T1204.001,77
T1569.002,76
T1070.006,75
T1548.002,74
T1119,73
T1588.002,72
T1078,71
T1566.002,70
T1189,69
T1497.001,67
T1007,67
T1046,65
T1571,63
T1036.004,63
T1056,63
T1070,62
T1003.001,62
T1055.012,62
T1055.001,58
T1021.002,58
T1132,58
T1068,57
T1021.001,56
T1090,56
T1564.001,56
T1120,56
T1135,55
T1133,55
T1587.001,54
T1598.002,52
T1573.002,51
T1218.010,51
T1560.001,51
T1204,51
T1027.001,50
T1043,49
T1074,48
T1102.002,47
T1071.004,46
T1588.001,46
T1059.007,45
T1115,45
T1190,44
T1087.001,42
T1059.006,42
T1087,42
T1123,40
T1010,40
T1087.002,39
T1218.005,37
T1570,35
T1490,35
T1125,35
T1059.004,35
T1552.001,35
T1583.001,34
T1546.013,34
T1070.001,33
T1025,33
T1014,32
T1564.003,32
T1027.003,31
T1598.003,31
T1560.003,31
T1497.003,31
T1110,31
T1489,30
T1561.002,29
T1027.005,29
T1091,29
T1210,29
T1559.002,29
T1518,29
T1053,28
T1218.007,27
T1136.001,27
T1567.002,27
T1555,26
T1090.003,26
T1048.003,26
T1134,26
T1090.002,25
T1048,25
T1543.001,25
T1497,25
T1572,24
T1568.002,24
T1069.001,24
T1219,24
T1614.001,24
T1090.001,24
T1020,23
T1562.004,23
T1069.002,23
T1078.002,22
T1114.002,22
T1001,22
T1129,22
T1071.003,22
T1221,22
T1030,22
T1485,21
T1195.002,21
T1608.001,21
T1069,20
T1003.002,20
T1546.003,20
T1039,20
T1021.004,19
T1564.004,19
T1550.002,19
T1102.001,18
T1110.003,18
T1620,18
T1583.006,17
T1003.004,17
T1003.003,17
T1029,17
T1482,17
T1040,17
T1185,16
T1080,16
T1071.002,16
T1197,16
T1053.003,16
T1104,16
T1496,15
T1539,15
T1001.002,15
T1134.001,15
T1098,15
T1568,15
T1114,15
T1552.002,14
T1114.001,14
T1480,14
T1078.003,14
T1134.002,14
T1110.001,14
T1566.003,14
T1552.004,14
T1588.006,14
T1546.015,13
T1001.001,13
T1087.003,13
T1199,13
T1584.001,12
T1217,12
T1550.003,12
T1222.002,12
T1136,12
T1074.002,12
T1016.001,12
T1542.003,12
T1529,12
T1001.003,12
T1056.004,12
T1201,12
T1021.005,11
T1205,11
T1560.002,11
T1585.002,11
T1543,11
T1021,11
T1584.004,10
T1559.001,10
T1003.005,10
